id,kode,nama,path,perm_name,disabled,created,create_uid
246,"ar-invoice-item-add","Tambah Ketetapan/Tagihan","/ar/invoice/item/add","red",0,"2015-03-08 16:45:45",1
247,"ar-invoice-item-edit","Edit Ketetapan/Tagihan","/ar/invoice/item/{id}/edit","red",0,"2015-03-08 16:45:45",1
248,"ar-invoice-item-delete","Hapus Ketetapan/Tagihan","/ar/invoice/item/{id}/delete","red",0,"2015-03-08 16:45:45",1
249,"ar-invoice-item-posting","Posting Ketetapan/Tagihan","/ar/invoice/item/{tipe}/{id}/{tgl}/post","red",0,"2015-03-08 16:45:45",1
250,"ar-invoice-item-unposting","Unposting Ketetapan/Tagihan","/ar/invoice/item/{tipe}/{id}/{tgl}/unpost","red",0,"2015-03-08 16:45:45",1
251,"ar-sts-validasi","Validasi STS/Penerimaan Bendahara","/ar/sts/validasi/{tipe}/{id}/{tgl}/unpost","red",0,"2015-03-08 16:45:45",1
252,"ar-sts-item","STS/enerimaan Bendahara","/ar/sts/item","red",0,"2015-03-08 16:45:45",1
253,"ar-sts-item-act","Act STS/Penerimaan Bendahara","/ar/sts/item/{ar_sts_id}/{act}/act","red",0,"2015-03-08 16:45:45",1
254,"ar-sts-item-add","Tambah STS/Penerimaan Bendahara","/ar/sts/item/add","red",0,"2015-03-08 16:45:45",1
255,"ar-sts-item-edit","Edit STS/Penerimaan Bendahara","/ar/sts/item/{id}/edit","red",0,"2015-03-08 16:45:45",1
256,"ar-sts-item-delete","Hapus STS/Penerimaan Bendahara","/ar/sts/item/{id}/delete","red",0,"2015-03-08 16:45:45",1
